C;*G*;***   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;SSD;21    ;34 ;34 ;34 ;35 ;35 ;36 ;36 ;37 ;37 ;38 ;38 ;39 ;39 ;40 ;40 ;41 ;41 ;42 ;42 ;   ;   ;   ;   ;   ;   ;   ;AA ;2;
C;SSU;29    ;5  ;5  ;5  ;6  ;6  ;7  ;7  ;8  ;8  ;9  ;9  ;10 ;10 ;11 ;11 ;12 ;12 ;13 ;13 ;14 ;14 ;15 ;15 ;16 ;16 ;   ;AA ;2;
C;SYL;G     ;34 ;34 ;35 ;35 ;36 ;36 ;37 ;37 ;38 ;38 ;39 ;39 ;40 ;40 ;41 ;41 ;41 ;   ;   ;   ;   ;   ;   ;   ;   ;34 ;AA ;2;
C;T1 ;21    ;35 ;35 ;35 ;35 ;35 ;35 ;36 ;36 ;37 ;37 ;38 ;38 ;39 ;39 ;40 ;40 ;41 ;41 ;41 ;   ;   ;   ;   ;   ;   ;   ;AA ;2;
C;TA ;C     ;35 ;35 ;35 ;35 ;35 ;37 ;37 ;37 ;37 ;39 ;39 ;39 ;39 ;41 ;41 ;41 ;41 ;   ;   ;   ;   ;   ;   ;   ;   ;   ;AA ;2;
C;TA1;AA    ;  1;  1;  1;  1;  1;  1;  2;  2;  3;  3;  4;  4;  4;  4;  4;  4;  4;   ;   ;   ;   ;   ;   ;   ;   ;   ;AA ;2;
C;TA1;B     ;  1;  1;  1;  1;  1;  1;  2;  2;  3;  3;  4;  4;  4;  4;  4;  4;  4;   ;   ;   ;   ;   ;   ;   ;   ;   ;AA ;2;
C;TA2;      ;   ;   ;   ;   ;   ;   ;   ;   ;  2;  2;  3;  3;  4;  4;  4;  4;  4;  4;  4;  4;  4;   ;   ;   ;   ;   ;AA ;2;
C;TA3;      ;  2;  2;  2;  2;  2;  2;  3;  3;  3;  4;  4;  4;  5;  5;  5;  5;  5;  5;  5;  5;  5;   ;   ;   ;   ;   ;B  ;2;
C;TA4;      ;  2;  2;  2;  2;  2;  2;  3;  3;  3;  4;  4;  4;  5;  5;  5;  5;  5;  5;  5;  5;  5;   ;   ;   ;   ;   ;AA ;2;
C;TA5;AA    ;  1;  1;  1;  1;  1;  2;  2;  2;  3;  3;  3;  4;  4;  4;  4;  4;  4;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;TA5;B     ;  1;  1;  1;  1;  1;  2;  2;  2;  3;  3;  3;  4;  4;  4;  4;  4;  4;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;TL1;AA    ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;TL1;B     ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;3  ;3  ;3  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;TL2;AA    ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;TL2;B     ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;TPA;      ;  1;  1;  1;  1;  1;  1;  1;  1;  1;  1;  2;  2;  2;  2;  2;  2;  2;  3;  3;  3;  3;  3;  3;  3;  3;   ;I  ;2;
